timestamp,reaction
1610046301683,❤
1609954019006,❤
1609948568201,😠
1609877820017,😮
1609837807502,❤
1609759949855,😆
1609728312858,❤
1609619359747,❤
1609611977081,❤
1609538053655,❤
1609502226645,❤
1609443224228,❤
1609409333415,❤
1609408898508,❤
1609408668356,❤
1609372168522,❤
1609371637341,😆
1609356164990,❤
1609329439317,😆
1609254271204,😆
1609254094769,❤
1609253911972,❤
1609253906125,❤
1609196395813,❤
1609188646985,❤
1609110742282,❤
1608998744767,😮
1608934608820,💙
1608928308310,😆
1608910917342,❤
1608890140842,👍
1608836131042,❤
1608836123963,❤
1608835213088,❤
1608832846968,❤
1608831330250,❤
1608811185048,😮
1608731933062,❤
1608641644617,😆
1608571416720,❤
1608415989915,👍
1608382937418,😮
1608327825542,😆
1608327784592,❤
1608271089039,😮
1608125685997,👍
1608074741941,❤
1607961073593,❤
1607938093592,😆
1607698093417,👍
1607698083623,👍
1607693754278,👍
1607693731446,👍
1607643647551,👍
1607642813520,😮
1607617703972,👍
1607617327454,😆
1607604899599,❤
1607566113161,😮
1607527716118,😢
1607522632746,👍
1607516005932,😮
1607506432520,😆
1607474496076,❤
1607453717751,❤
1607347940805,❤
1607257707496,😆
1607158454071,😆
1606958823848,😮
1606858126568,❤
1606853622282,😆
1606839115767,👍
1606815042082,👍
1606815026201,😆
1606762424004,❤
1606744579811,❤
1606726585297,😆
1606694309583,👍
1606679801062,😆
1606520038328,😆
1606520009650,😆
1606332207258,😮
1606295546010,❤
1606295541688,❤
1606260179526,😆
1606260176291,😆
1606137107802,😆
1606068735524,😆
1606051758306,❤
1605988661242,😆
1605704096093,😮
1605702630471,😆
1605691506350,👍
1605684469224,😆
1605648602322,😮
1605624639662,😆
1605624297212,👍
1605566528904,👍
1605565350878,😠
1605551875209,😆
1605518633830,👍
1605391478114,😆
1605363708453,😆
1605295539315,❤
1605287847048,👍
1605287106615,👍
1605286341178,😆
1605187002477,❤
1605185301855,👍
1605172119269,😆
1605045587639,😆
1605035880581,😆
1605033979448,😆
1605020220213,👍
1604967366274,👍
1604948045916,😮
1604920684965,😆
1604683013226,😆
1604682940518,❤
1604682494040,😆
1604682361372,❤
1604508727047,😆
1604491911566,😮
1604428655131,❤
1604403342257,😆
1604365334233,❤
1604362912431,😢
1604355242109,❤
1604355231196,😢
1604354885698,❤
1604339648923,👍
1604324972133,😆
1604320019581,❤
1604220140267,😆
1604090976983,😆
1604081928798,❤
1604081694506,😮
1604070421044,😮
1604014111070,❤
1603998594246,👍
1603982179222,👍
1603973884672,😢
1603959584010,😆
1603959029899,😮
1603931023816,😆
1603927716283,👍
1603920674959,👍
1603908607766,😆
1603895324287,❤
1603895312431,😢
1603878336880,😆
1603873912653,😆
1603871208943,❤
1603844203647,❤
1603843899871,😆
1603827524464,😮
1603784142430,😆
1603780347983,😆
1603754275103,💚
1603752413710,👍
1603751421874,😆
1603751042739,🤢
1603750985569,🤮
1603746040161,😆
1603737501185,👍
1603733410578,😮
1603726633969,😆
1603709640432,😆
1603661640469,👍
1603658494822,❤
1603621968519,👍
1603445597521,❤
1603312684220,👍
1603309056809,❤
1603305666424,😢
1603305662029,😢
1603305626637,😢
1603234020866,❤
1603234005106,😆
1603231815018,😆
1603214305993,😆
1603125637629,👍
1603093416861,😆
1603051339546,❤
1602974467355,😆
1602829379221,☂️
1602788403218,👍
1602787050957,🥶
1602786951104,❤
1602782947330,❤
1602690640844,😆
1602593145300,👍
1602411482527,😆
1602410252396,😮
1602357287008,👍
1602322935004,😆
1602234377414,😆
1602234368507,😆
1602230579371,😆
1602155144997,👍
1602155106335,👍
1602111699044,❤
1602095470982,😮
1602051404638,😢
1602007150446,❤
1601977250650,😆
1601964483839,👍
1601932377557,😆
1601926941489,😆
1601904267084,😆
1601902799476,❤
1601816827440,❤
1601809004911,😆
1601749212468,😆
1601727741314,❤
1601725318817,😆
1601650298549,😢
1601649766352,❤
1601639532373,😆
1601578512604,👍
1601576147659,😆
1601574823962,❤
1601573855087,👍
1601560293348,😮
1601552835188,❤
1601537666882,😮
1601503179865,👍
1601496520582,❤
1601481584748,❤
1601477252323,😆
1601417851920,❤
1601410933481,😆
1601410073218,❤
1601398488013,😆
1601318331738,❤
1601289914287,😆
1601281374684,😆
1601212803786,👎
1601031104742,😆
1601030789106,😆
1601030106468,👍
1601028862254,😆
1600774837647,👍
1600721335609,😆
1600719910661,😆
1600719700549,👍
1600712932479,😢
1600629487555,❤
1600608099715,😆
1600468964601,❤
1600464496836,👍
1600464403688,👍
1600268166828,😆
1600268165034,😆
1600258920517,👍
1600258909123,👍
1600198703851,😆
1600165629971,😆
1600091132807,👍
1600072430560,😮
1599987344593,❤
1599851259414,❤
1599681298403,👎
1599583443396,😆
1599493466792,👍
1599313960077,👍
1599158024031,❤
1599144435231,❤
1599138565907,😆
1599124992624,😆
1599064514601,👍
1598973458933,👍
1598945975908,😮
1598945098672,😠
1598944354986,😆
1598942373627,😮
1598894677748,😆
1598893954226,😆
1598882968906,❤
1598882933873,😢
1598880564187,👍
1598878858275,😆
1598872644220,😮
1598872456364,😮
1598808233654,👍
1598806703850,👍
1598800708591,😆
1598799960439,😢
1598799885728,👍
1598793182441,😆
1598793180422,😆
1598793154693,😆
1598785332964,😆
1598735684776,😮
1598704344231,😢
1598621611116,😆
1598615240407,😆
1598610158029,👍
1598605488575,👍
1598567985332,😢
1598567423041,👍
1598560374939,😆
1598560277590,😆
1598560275334,😠
1598557930541,❤
1598544370528,😮
1598533405261,😆
1598479174042,👍
1598478942981,👎
1598478347615,😆
1598455593147,😆
1598449582204,👍
1598445881410,😆
1598393351928,❤
1598277694636,😆
1598276589599,👍
1598270770328,😮
1598195050556,👎
1598177941619,😆
1598177547401,👍
1598126996132,😆
1598096665517,👍
1598091907255,😮
1598086228652,👍
1598050503354,👍
1598036848397,😮
1598036843825,😮
1598036824618,😮
1598030987291,😆
1598030592865,👍
1598026746094,😆
1597998763650,😆
1597961839140,👍
1597955861660,👍
1597941254067,😮
1597918762762,😢
1597870309417,😮
1597870281656,😮
1597867647812,👍
1597866654176,😆
1597865246074,😢
1597865102639,😆
1597852128942,😆
1597843353954,😆
1597838913234,😆
1597835205781,❤
1597824706435,😮
1597821627942,😆
1597821575241,😆
1597764380119,❤
1597763106036,👍
1597746880015,😆
1597746761570,😆
1597610786425,😆
1597595978592,❤
1597595388619,😆
1597572112483,❤
1597567890980,😆
1597561345276,😢
1597535158824,👍
1597474997782,👍
1597441980262,😆
1597440511904,👎
1597436291302,👍
1597436285030,👍
1597419194461,😆
1597419193552,😆
1597418946272,❤
1597416689166,😆
1597355044289,❤
1597350994814,👍
1597349459568,👍
1597344897145,😆
1597338326485,👍
1597311603981,😆
1597265700625,❤
1597263135810,😮
1597230777745,❤
1597229209475,😆
1597225819082,👍
1597141087069,😆
1597110093748,😆
1597095535892,❤
1597091512969,👎
1597088487724,👍
1597087817263,👍
1597086533241,❤
1597083346492,😆
1597076736337,😆
1597059536362,👍
1597058373749,😆
1597047349055,❤
1597045500463,👍
1596977260303,😆
1596966018733,👍
1596911945136,👍
1596892273959,😢
1596876976870,😮
1596875017015,👍
1596796021420,😆
1596791397459,👍
1596790916254,😆
1596729251521,❤
1596668304483,👍
1596656129305,👍
1596645251050,❤
1596621672993,😆
1596621184114,😆
1596619088334,👍
1596614823913,😆
1596536996558,😆
1596489481086,😆
1596471195232,❤
1596460354519,😢
1596443616945,😢
1596390231706,👍
1596389456984,😆
1596370360295,😆
1596322761696,😆
1596316278452,😢
1596311430980,❤
1596277720079,😆
1596266612352,😢
1596229986220,😆
1596229580018,❤
1596227644492,❤
1596214080603,😆
1596209890368,😮
1596185220097,❤
1596098968945,👍
1596061513699,👍
1596057687235,😆
1596057516306,😮
1596051370219,😆
1596010785898,😆
1595956828180,😆
1595948937858,😆
1595920021182,😆
1595915669288,😆
1595800397605,❤
1595794386329,😢
1595790506807,👍
1595712952615,😆
1595699745430,😮
1595686464455,👍
1595616801196,😢
1595591887340,😠
1595590074715,😆
1595509835777,😆
1595443061790,😆
1595373456538,😢
1595363192955,❤
1595359545375,😆
1595352374242,😆
1595349634474,❤
1595342065731,❤
1595324225775,😢
1595258832679,👍
1595225267733,😆
1595224950009,👍
1595195216013,❤
1595166925228,😆
1595147909579,😆
1595121236525,😆
1595112073399,😆
1595103845513,👍
1595100690503,😆
1595072250961,😮
1595016921531,😮
1595016913641,😮
1595002249070,❤
1594977127449,❤
1594977122841,❤
1594976758169,😆
1594942348333,😆
1594941229757,😮
1594917784452,❤
1594917759592,❤
1594906324684,❤
1594845855001,😆
1594835612103,😆
1594765363688,😆
1594765025784,😆
1594763941524,😆
1594758129415,❤
1594739041017,😆
1594671149221,😆
1594659995029,😮
1594629136424,😆
1594595751060,😆
1594594098012,😆
1594586224842,👍
1594582594298,😆
1594530786845,❤
1594530623575,😆
1594479082970,😆
1594431273849,❤
1594402789361,👍
1594402600320,❤
1594334929490,😢
1594324344170,😆
1594291298333,😆
1594289939111,😠
1594286469159,😮
1594286312739,😆
1594275741152,😆
1594233603569,👍
1594223795198,😮
1594051136643,😆
1594040854237,❤
1593977036332,😮
1593965902797,👍
1593963853422,😆
1593961839495,😮
1593911392579,😆
1593857991870,😆
1593819563737,😆
1593811462914,😢
1593808692266,😆
1593695953511,👍
1593694790982,❤
1593678836230,👍
1593642335651,❤
1593604774565,😮
1593604376458,😆
1593532497133,❤
1593532263220,😆
1593531789709,❤
1593521714913,😮
1593503486468,😮
1593373772047,❤
1593208069140,😆
1593208066096,😆
1593207977831,😆
1593206144866,😢
1593129513429,😮
1593120141832,😢
1593087781476,😆
1593086296519,👍
1593084015148,😢
1593013442834,😮
1592944480866,😆
1592923151761,👍
1592839590973,😢
1592837303568,😮
1592831354710,❤
1592647036942,😆
1592602146964,😆
1592598371261,😆
1592556783677,😆
1592555880697,❤
1592480587932,👍
1592394296637,👍
1592281396236,👍
1592245834787,😮
1592212707786,👍
1592170344980,😮
1592168017649,😆
1592130606361,👍
1592078186508,😮
1592074640998,👎
1592074574147,😢
1591983859863,👍
1591983366936,😆
1591878948156,❤
1591863997633,👍
1591829927586,😆
1591787543580,😮
1591786285701,😆
1591778655308,❤
1591747008265,😢
1591746747678,😆
1591746743378,😆
1591730003501,😆
1591714075045,😮
1591711125729,👍
1591711122201,👍
1591711003129,👍
1591710991820,😆
1591706529428,👍
1591704443048,😆
1591696514728,👍
1591690261036,👍
1591655959489,👍
1591629326771,❤
1591620473457,👍
1591614019393,👍
1591608992202,👍
1591602946411,😆
1591599355823,👍
1591599346266,👍
1591599321494,😆
1591598985411,👍
1591575665480,😮
1591522215676,😆
1591486163580,😆
1591470235755,😮
1591407023678,😮
1591403530204,❤
1591401007078,👍
1591399737917,😆
1591396722081,😆
1591395988258,👍
1591394010006,😮
1591389840683,😢
1591389445821,😆
1591377780899,👍
1591377415114,👍
1591376934651,😮
1591376516298,😢
1591376458353,😆
1591368097858,👍
1591204872089,😆
1591193029016,👍
1591127476139,👍
1591127457685,😠
1591050824677,😢
1591043529862,👍
1591041430600,👍
1591017317226,😆
1590995377075,👍
1590934415076,👍
1590934385572,👍
1590859584671,👍
1590751361685,😆
1590747793205,❤
1590703555156,👍
1590700130774,❤
1590591845396,😆
1590591260891,😢
1590583026575,😆
1590527952381,❤
1590438476653,❤
1590431425474,❤
1590421078271,😆
1590409327577,😠
1590406980352,😮
1590401961573,👍
1590388863561,👍
1590345063292,👍
1590245512628,😢
1590219909464,👍
1590187106859,😮
1590183997713,👍
1590160895270,😆
1590157829113,😆
1590133657038,👍
1590096042941,👍
1590090226292,👍
1590080489683,😮
1590073708613,👍
1590071466608,👎
1590071460010,😢
1590068054160,❤
1590064402025,👍
1590045723742,❤
1589957533922,😆
1589923404277,😆
1589883532575,😮
1589875253549,😮
1589819268811,😮
1589742950592,😆
1589661071292,❤
1589660542186,👍
1589576166829,😮
1589527882081,😮
1589448726031,😆
1589370929372,😮
1589296079146,❤
1589214891995,👍
1589144288472,😆
1589043013652,👍
1588938163883,😆
1588938066065,😮
1588860027814,❤
1588797383402,👍
1588761897383,😆
1588713316799,😆
1588624938818,❤
1588603035909,😆
1588502187235,😆
1588414149430,😆
1588199588635,❤
1588184202632,👍
1588092553816,👍
1587926154581,👍
1587926109547,👍
1587926040369,👍
1587673584632,😆
1587462428963,😆
1587416945432,❤
1587393223605,👍
1587257984408,😆
1587243423520,❤
1587243420679,❤
1587222348606,👍
1587036343684,😆
1587033727738,😆
1586979079671,❤
1586978690043,👎
1586956785024,😆
1586786266902,😆
1586775935660,❤
1586772156335,😆
1586770218888,😮
1586695918112,😆
1586695512892,❤
1586551493332,😆
1586450227890,😮
1586305617472,😆
1586305609999,😢
1586272207113,😮
1586033805831,😮
1586004149984,👍
1585932914756,❤
1585855963833,👍
1585851071183,👍
1585743801786,👍
1585690439669,😆
1585682320552,😆
1585667419229,👍
1585491802423,😆
1585245897150,❤
1585245782259,😆
1585245779359,❤
1585125372788,❤
1585089355507,😮
1584921170369,👍
1584894497811,❤
1584804119337,❤
1584801519167,❤
1584801513292,❤
1584790304336,😆
1584708951851,😢
1584704289601,😮
1584616405272,👍
1584563797290,😆
1584549762126,😮
1584534682956,👍
1584466535578,👍
1584463259307,😆
1584463157609,😆
1584463099550,😆
1584360964086,❤
1584229540737,😆
1584137600661,😮
1584089223799,😍
1584032227884,😍
1583961079396,😍
1583949454415,😮
1583937932315,👎
1583927111924,😆
1583883841909,❤
1583881742577,❤
1583870314739,😢
1583867973943,❤
1583855226779,👍
1583852769186,😮
1583842708400,😍
1583837618450,😆
1583791012979,😆
1583784680875,👍
1583781383174,👍
1583780936962,😢
1583743975228,😆
1583742159733,😮
1583682828737,😮
1583668273418,😆
1583582919376,👍
1583496151035,😮
1583479413381,😆
1583345935637,😢
1583324011774,😆
1583316120975,😍
1583315591203,😮
1583313257462,😍
1583279323236,👍
1583277973371,😍
1583269446182,😮
1583178549272,👍
1583175346043,👍
1583092503009,😆
1583067439883,👍
1583061855574,😆
1582898864788,👍
1582837804510,👍
1582832209776,😮
1582755330332,😆
1582755228208,👍
1582753065953,😮
1582749753291,😮
1582743968701,😮
1582707968796,😮
1582644022701,😍
1582637249288,😮
1582637220439,😆
1582636924394,👍
1582590091983,😍
1582575872700,😮
1582574835767,👍
1582549250182,😢
1582542784208,😢
1582541795226,😆
1582495627517,😆
1582492886949,😮
1582490172927,😍
1582360697811,😍
1582334422136,😆
1582334201018,👍
1582333572289,👍
1582306867419,😮
1582298858249,😆
1582293781178,😆
1582209440802,😢
1582209353931,😆
1582208040560,😮
1582208035163,😮
1582145622648,😮
1582145609173,😮
1582145593479,😮
1582140527939,😢
1582119900940,😮
1582058933411,😢
1581951516609,😍
1581951432123,😮
1581796970145,😍
1581796646629,👍
